,learning_rate,max_bin,max_depth,n_estimators,subsample,acc_test,acc_train,roc_auc_test,roc_auc_train
0,0.005,256,4,100,0.2,0.7514208794495961,0.7723431306558971,0.8340248754723032,0.854507645178108
1,0.005,256,4,100,0.4,0.7523182769967095,0.771520454715429,0.8331523941246123,0.8530060595912533
2,0.005,256,4,100,0.6,0.7457373616512115,0.7686036945628599,0.8323482795204737,0.8514690120229318
3,0.005,256,4,100,0.8,0.7523182769967095,0.7704734126093785,0.8323325301135819,0.8503897372443923
4,0.005,256,4,100,1.0,0.746036494166916,0.7692767930596066,0.8292468991565476,0.8486237753143173
5,0.005,256,4,200,0.2,0.7565061322165719,0.7764565103582379,0.8365354741072593,0.8576399449486858
6,0.005,256,4,200,0.4,0.755907867185163,0.7749607359210231,0.8358750728410068,0.8565710850296876
7,0.005,256,4,200,0.6,0.752617409512414,0.7763069329145165,0.8350351641302962,0.8555233009381608
8,0.005,256,4,200,0.8,0.752617409512414,0.7756338344177698,0.8344749863624454,0.8545644514689247
9,0.005,256,4,200,1.0,0.752019144481005,0.7742876374242764,0.8324744537461397,0.8523361525571311
10,0.005,256,4,300,0.2,0.7594974573736165,0.7783262284047565,0.8386410624263536,0.860377307875822
11,0.005,256,4,300,0.4,0.7574035297636853,0.7772043975768455,0.8378519813469752,0.8594248236644582
12,0.005,256,4,300,0.6,0.7568052647322764,0.7775783411861491,0.8367833482952699,0.8586477923607687
13,0.005,256,4,300,0.8,0.7538139395752318,0.7772043975768455,0.8365086285273303,0.8581007381596023
14,0.005,256,4,300,1.0,0.7523182769967095,0.7748859471991624,0.8360336407331206,0.8569713355769768
15,0.005,256,4,500,0.2,0.7636853125934789,0.7831127066038441,0.8418308542335122,0.8651541262733815
16,0.005,256,4,500,0.4,0.7618905174992522,0.7812429885573255,0.8410201177196577,0.8647943269958037
17,0.005,256,4,500,0.6,0.7642835776248879,0.7812429885573255,0.8402940342678459,0.8643510410407217
18,0.005,256,4,500,0.8,0.7612922524678433,0.7804951013387181,0.8397168542993734,0.863947423283205
19,0.005,256,4,500,1.0,0.7586000598265031,0.7803455238949967,0.8392794503170642,0.8632787467910263
20,0.005,256,5,100,0.2,0.7618905174992522,0.7804203126168574,0.8372830340230142,0.8607814066633712
21,0.005,256,5,100,0.4,0.759198324857912,0.7763817216363772,0.8361698373086268,0.8595415237876958
22,0.005,256,5,100,0.6,0.7588991923422076,0.7749607359210231,0.8350185198707403,0.8584494849331773
23,0.005,256,5,100,0.8,0.7556087346694585,0.7730910178745045,0.834028991794559,0.8567732406975392
24,0.005,256,5,100,1.0,0.7550104696380496,0.7728666517089223,0.8310852844700825,0.8542988445837608
25,0.005,256,5,200,0.2,0.7612922524678433,0.7821404532196545,0.8396728275482899,0.8643173577517005
26,0.005,256,5,200,0.4,0.7612922524678433,0.7801211577294144,0.8384296982270464,0.8636807536572713
27,0.005,256,5,200,0.6,0.7633861800777745,0.7798967915638322,0.837315248718929,0.8628234127116415
28,0.005,256,5,200,0.8,0.7574035297636853,0.7775783411861491,0.8369474642739023,0.8618719353073224
29,0.005,256,5,200,1.0,0.7544122046066407,0.7760077780270735,0.8351803092324455,0.8602874895006806
30,0.005,256,5,300,0.2,0.7624887825306611,0.7843841148754768,0.8412150166299418,0.8672143555291627
31,0.005,256,5,300,0.4,0.7633861800777745,0.784608481041059,0.8406344362213449,0.8671429505361965
32,0.005,256,5,300,0.6,0.7639844451091834,0.7825143968289582,0.8394398079145065,0.8665501537349611
33,0.005,256,5,300,0.8,0.7609931199521388,0.780794256226161,0.8388851782331743,0.865936784509777
34,0.005,256,5,300,1.0,0.7594974573736165,0.7802707351731359,0.8371452267127122,0.8644528292329513
35,0.005,256,5,500,0.2,0.7672749027819324,0.7902924239024756,0.8431627529390542,0.87227451180262
36,0.005,256,5,500,0.4,0.7642835776248879,0.7911150998429437,0.8428985924325532,0.8729290482491916
37,0.005,256,5,500,0.6,0.7633861800777745,0.7912646772866652,0.8422791754183256,0.8728470494087648
38,0.005,256,5,500,0.8,0.7615913849835477,0.790442001346197,0.8415538078486453,0.8725060103024551
39,0.005,256,5,500,1.0,0.759796589889321,0.787525241193628,0.840761863240741,0.8715238924037393
40,0.005,256,6,100,0.2,0.7636853125934789,0.7876000299154887,0.8389725158532098,0.8679837686595465
41,0.005,256,6,100,0.4,0.7660783727191146,0.7841597487098946,0.8385363646646307,0.8682797363704838
42,0.005,256,6,100,0.6,0.7636853125934789,0.7834118614912872,0.8378729208993199,0.8675426641197282
43,0.005,256,6,100,0.8,0.7586000598265031,0.7813177772791863,0.8367640194777209,0.866301573075599
44,0.005,256,6,100,1.0,0.755907867185163,0.7795228479545284,0.8341487230810423,0.8642940781354758
45,0.005,256,6,200,0.2,0.7654801076877057,0.7891705930745644,0.8407167626664604,0.871701213497819
46,0.005,256,6,200,0.4,0.7636853125934789,0.7889462269089821,0.8404012376170288,0.8724577394980293
47,0.005,256,6,200,0.6,0.7672749027819324,0.7874504524717673,0.8393581973515225,0.8719392898036802
48,0.005,256,6,200,0.8,0.7657792402034101,0.7847580584847805,0.838565357890954,0.871122154019373
49,0.005,256,6,200,1.0,0.7603948549207299,0.7850572133722235,0.8362840205085913,0.8694860478245875
50,0.005,256,6,300,0.2,0.7657792402034101,0.7920125645052726,0.8421164912039563,0.8749265422393366
51,0.005,256,6,300,0.4,0.7651809751720012,0.7920125645052726,0.8418512568742582,0.8762445869019236
52,0.005,256,6,300,0.6,0.7633861800777745,0.792162141948994,0.8410929587265316,0.8761010833378043
53,0.005,256,6,300,0.8,0.7654801076877057,0.7905915787899185,0.8400810593337428,0.8754121364637903
54,0.005,256,6,300,1.0,0.7642835776248879,0.7894697479620073,0.8380681777506698,0.874035462070961
55,0.005,256,6,500,0.2,0.7687705653604546,0.7960511554857528,0.8436073157426776,0.8807300577142072
56,0.005,256,6,500,0.4,0.7675740352976369,0.7988183381946002,0.8432035582205462,0.8827571965784491
57,0.005,256,6,500,0.6,0.7651809751720012,0.7990427043601824,0.8429877197579172,0.8834201566439621
58,0.005,256,6,500,0.8,0.7645827101405923,0.8000149577443721,0.8420982362096046,0.883307237640515
59,0.005,256,6,500,1.0,0.7642835776248879,0.7994914366913469,0.8408803417334942,0.8819143424675195
60,0.005,256,7,100,0.2,0.7651809751720012,0.7932091840550445,0.8398688002817711,0.8754657769057883
61,0.005,256,7,100,0.4,0.7624887825306611,0.7944058036048164,0.8397059370968689,0.8776901157098725
62,0.005,256,7,100,0.6,0.7642835776248879,0.7950041133797023,0.8387137244626945,0.8781606525756339
63,0.005,256,7,100,0.8,0.7642835776248879,0.7944805923266771,0.8385589149517709,0.8776451673686945
64,0.005,256,7,100,1.0,0.7583009273107987,0.7902924239024756,0.8339019227162285,0.8747143296877821
65,0.005,256,7,200,0.2,0.7657792402034101,0.7960511554857528,0.8416508098774553,0.879547059436563
66,0.005,256,7,200,0.4,0.7675740352976369,0.7994914366913469,0.8410568066788939,0.8824470664484148
67,0.005,256,7,200,0.6,0.7645827101405923,0.7999401690225114,0.8400219990578991,0.8829022215398805
68,0.005,256,7,200,0.8,0.7633861800777745,0.7993418592476255,0.8396633421100482,0.8825839027125484
69,0.005,256,7,200,1.0,0.7612922524678433,0.795976366763892,0.8368613794475968,0.8802198638376254
70,0.005,256,7,300,0.2,0.7675740352976369,0.7991174930820433,0.8426820380877931,0.8833012303584811
71,0.005,256,7,300,0.4,0.7690696978761591,0.8039039712811308,0.842587541646443,0.886800075013837
72,0.005,256,7,300,0.6,0.7660783727191146,0.8048014359434598,0.8414181481847378,0.8877434196545829
73,0.005,256,7,300,0.8,0.7657792402034101,0.804427492334156,0.8409134512820733,0.8874118333477494
74,0.005,256,7,300,1.0,0.7675740352976369,0.8035300276718271,0.8390204799560161,0.8851859172126284
75,0.005,256,7,500,0.2,0.7702662279389769,0.8056241118839279,0.8438446306692495,0.8906215565800724
76,0.005,256,7,500,0.4,0.7711636254860903,0.8101862239174332,0.8435722375182371,0.8947285126904896
77,0.005,256,7,500,0.6,0.7690696978761591,0.8127290404606985,0.8430444534168339,0.8967662006552122
78,0.005,256,7,500,0.8,0.7675740352976369,0.8140752374541919,0.8422428444001553,0.8969321336429406
79,0.005,256,7,500,1.0,0.7693688303918635,0.8145987585072171,0.8405342127229436,0.8949244597148982
80,0.005,256,8,100,0.2,0.766975770266228,0.801211577294144,0.8407811920582899,0.8832599960166239
81,0.005,256,8,100,0.4,0.7666766377505235,0.8056989006057886,0.8400568983118066,0.8879458661778029
82,0.005,256,8,100,0.6,0.7657792402034101,0.8098870690299903,0.8402287100233521,0.8900608769235664
83,0.005,256,8,100,0.8,0.7678731678133414,0.8098122803081296,0.8399632967231212,0.8900928374538664
84,0.005,256,8,100,1.0,0.7639844451091834,0.8055493231620672,0.8347318090770991,0.8868542300461023
85,0.005,256,8,200,0.2,0.7648818426562968,0.8049510133871812,0.8422832917405814,0.8883204543321945
86,0.005,256,8,200,0.4,0.7708644929703858,0.8101862239174332,0.8412295132431036,0.8937276122470158
87,0.005,256,8,200,0.6,0.7681723003290458,0.8142996036197742,0.8408635185034055,0.8955519801724342
88,0.005,256,8,200,0.8,0.7660783727191146,0.8151222795602423,0.8404708571543112,0.8957740370595381
89,0.005,256,8,200,1.0,0.7648818426562968,0.8117567870765089,0.8375989170135115,0.8925135148184322
90,0.005,256,8,300,0.2,0.7681723003290458,0.8081669284271932,0.8431434241215052,0.8927671854467428
91,0.005,256,8,300,0.4,0.7714627580017948,0.8155710118914068,0.8426877651448446,0.8989898458811099
92,0.005,256,8,300,0.6,0.7702662279389769,0.8200583352030514,0.8421623076603683,0.9012683397174596
93,0.005,256,8,300,0.8,0.7684714328447503,0.8207314336997981,0.8414256649471179,0.9018428350039692
94,0.005,256,8,300,1.0,0.7651809751720012,0.8190860818188617,0.8389258045441335,0.8991315931262733
95,0.005,256,8,500,0.2,0.7705653604546814,0.8158701667788497,0.8438768453651644,0.9017224320681556
96,0.005,256,8,500,0.4,0.7687705653604546,0.8249943908458605,0.8433993519834946,0.9088279839736008
97,0.005,256,8,500,0.6,0.7693688303918635,0.8312018547603022,0.8427070939623934,0.912581125714984
98,0.005,256,8,500,0.8,0.7711636254860903,0.832697629197517,0.8423602490697111,0.913080009792429
99,0.005,256,8,500,1.0,0.766975770266228,0.8302296013761125,0.8396225368285563,0.9098381806021216
100,0.005,256,9,100,0.2,0.7639844451091834,0.8100366464737118,0.8404996714101016,0.8917929877634461
101,0.005,256,9,100,0.4,0.7681723003290458,0.8180390397128113,0.8407156888432633,0.8995830342184181
102,0.005,256,9,100,0.6,0.7654801076877057,0.8226759404681774,0.8406924226739916,0.9035758407834444
103,0.005,256,9,100,0.8,0.766975770266228,0.8282850946077331,0.8398634311657854,0.9050903023137276
104,0.005,256,9,100,1.0,0.7624887825306611,0.8221524194151522,0.83120591060923,0.9019298678796202
105,0.005,256,9,200,0.2,0.7675740352976369,0.8151222795602423,0.8423298240791249,0.8975795441329841
106,0.005,256,9,200,0.4,0.7684714328447503,0.8240221374616707,0.8414632487590183,0.9064748074280164
107,0.005,256,9,200,0.6,0.7672749027819324,0.8297060803230872,0.8408010577874373,0.9103064129984249
108,0.005,256,9,200,0.8,0.7642835776248879,0.8339690374691496,0.840098777416496,0.9117488654515148
109,0.005,256,9,200,1.0,0.7615913849835477,0.8288834043826191,0.8346704221843282,0.909088545636796
110,0.005,256,9,300,0.2,0.7678731678133414,0.8184877720439757,0.8429723282920913,0.9029422682968946
111,0.005,256,9,300,0.4,0.7738558181274304,0.8301548126542517,0.8426859754395158,0.9126609543268922
112,0.005,256,9,300,0.6,0.766975770266228,0.8369605863435794,0.8415172978599419,0.9168681884189716
113,0.005,256,9,300,0.8,0.7678731678133414,0.8398773464961484,0.8412343454474908,0.9187010694572912
114,0.005,256,9,300,1.0,0.7642835776248879,0.8373345299528832,0.8360118063281117,0.9160477301714164
115,0.005,256,9,500,0.2,0.7675740352976369,0.8276867848328472,0.8433510299396224,0.9132133893523756
116,0.005,256,9,500,0.4,0.7666766377505235,0.8428688953705781,0.8426566242721267,0.924593251072574
117,0.005,256,9,500,0.6,0.7675740352976369,0.8519931194375888,0.8423638284803683,0.930289295488784
118,0.005,256,9,500,0.8,0.7675740352976369,0.8560317104180689,0.8417503174937253,0.931861122647131
119,0.005,256,9,500,1.0,0.7636853125934789,0.8527410066561962,0.8366926102351099,0.9283883207340008
120,0.005,256,10,100,0.2,0.7636853125934789,0.8171415750504823,0.8400934083005102,0.9000995709793822
121,0.005,256,10,100,0.4,0.7663775052348191,0.8305287562635555,0.8399495159920909,0.912499182808282
122,0.005,256,10,100,0.6,0.7666766377505235,0.8398773464961484,0.8406047271128904,0.9187311282409512
123,0.005,256,10,100,0.8,0.7666766377505235,0.846982275072919,0.8395464743520908,0.9216281372051582
124,0.005,256,10,100,1.0,0.7505234819024827,0.8433176277017426,0.8281270805324444,0.9189315164031016
125,0.005,256,10,200,0.2,0.7660783727191146,0.8241717149053923,0.8418605633419668,0.9069642163324956
126,0.005,256,10,200,0.4,0.7678731678133414,0.8401017126617306,0.8408048161686275,0.9204880960280926
127,0.005,256,10,200,0.6,0.7657792402034101,0.8498242465036272,0.8406979707605102,0.9264791237216852
128,0.005,256,10,200,0.8,0.7645827101405923,0.854835090868297,0.8395289352398706,0.9294606932909109
129,0.005,256,10,200,1.0,0.7562069997008675,0.8512452322189814,0.8311634945929423,0.9273324374391356
130,0.005,256,10,300,0.2,0.766975770266228,0.8285842494951762,0.8427339395423221,0.9130165138281368
131,0.005,256,10,300,0.4,0.7702662279389769,0.8479545284571086,0.841749422641061,0.9272361866856524
132,0.005,256,10,300,0.6,0.7666766377505235,0.8581257946301698,0.8411278579804391,0.9339350444787218
133,0.005,256,10,300,0.8,0.7651809751720012,0.8653803006506618,0.8403464726339739,0.9370785309942417
134,0.005,256,10,300,1.0,0.7603948549207299,0.8593224141799417,0.8327547216005978,0.933864881214444
135,0.005,256,10,500,0.2,0.766975770266228,0.8392790367212625,0.8424023071449332,0.924853253398522
136,0.005,256,10,500,0.4,0.7684714328447503,0.8645576247101937,0.8415359107953593,0.940551120359218
137,0.005,256,10,500,0.6,0.7657792402034101,0.8777204397576845,0.8412166273647377,0.9485715466395308
138,0.005,256,10,500,0.8,0.7690696978761591,0.8814598758507217,0.8404939443530502,0.9509130889703752
139,0.005,256,10,500,1.0,0.7594974573736165,0.8768977638172164,0.833889931690527,0.946936928281823
140,0.005,256,11,100,0.2,0.7654801076877057,0.8261162216737716,0.8392168106305633,0.9082019625398868
141,0.005,256,11,100,0.4,0.7690696978761591,0.8469074863510583,0.8400440124334407,0.9258203251252904
142,0.005,256,11,100,0.6,0.7678731678133414,0.8613417096701818,0.8405970313799774,0.9343950210572576
143,0.005,256,11,100,0.8,0.7657792402034101,0.8699424126841673,0.8388347085429079,0.9389712834914924
144,0.005,256,11,100,1.0,0.7550104696380496,0.8643332585446115,0.8253771982950551,0.935855719091348
145,0.005,256,11,200,0.2,0.7663775052348191,0.8341186149128711,0.8410100953698176,0.9159682819088364
146,0.005,256,11,200,0.4,0.7690696978761591,0.8571535412459801,0.8404216402577749,0.9343374205075498
147,0.005,256,11,200,0.6,0.7639844451091834,0.8724104405055717,0.8406059799066203,0.9428689020438048
148,0.005,256,11,200,0.8,0.7645827101405923,0.8807119886321143,0.8384952014420729,0.947494128860652
149,0.005,256,11,200,1.0,0.7594974573736165,0.878169172088849,0.8280504811443805,0.9453908865705676
150,0.005,256,11,300,0.2,0.7702662279389769,0.8392042479994017,0.8417231139727308,0.9226504490784516
151,0.005,256,11,300,0.4,0.7699670954232725,0.8657542442599656,0.8405442350727838,0.9418689189134164
152,0.005,256,11,300,0.6,0.7639844451091834,0.8807119886321143,0.8402888441223929,0.9507733777127912
153,0.005,256,11,300,0.8,0.7651809751720012,0.8908084660833147,0.8390722024400127,0.9551511201712808
154,0.005,256,11,300,1.0,0.7606939874364343,0.8878169172088849,0.8304134290897272,0.9533849345063068
155,0.005,256,11,500,0.2,0.7660783727191146,0.8487772043975769,0.8414818616944357,0.935555254308944
156,0.005,256,11,500,0.4,0.766975770266228,0.8845262134470122,0.840324459258432,0.9554668324870412
157,0.005,256,11,500,0.6,0.7639844451091834,0.9025502954154514,0.8398120666228546,0.9654420529520544
158,0.005,256,11,500,0.8,0.7642835776248879,0.9098795901578042,0.8387135454921618,0.968802774867608
159,0.005,256,11,500,1.0,0.759796589889321,0.9062897315084886,0.830381751305411,0.9658622382788308
160,0.005,256,12,100,0.2,0.7645827101405923,0.8350908682970608,0.8384053582345774,0.9158242749411948
161,0.005,256,12,100,0.4,0.769667962907568,0.8620148081669284,0.8398589569024639,0.9385165758698244
162,0.005,256,12,100,0.6,0.7657792402034101,0.8816094532944432,0.8403199849951104,0.9495037045353348
163,0.005,256,12,100,0.8,0.7645827101405923,0.8920798743549473,0.8378713101645239,0.9550344647950229
164,0.005,256,12,100,1.0,0.7418486389470536,0.8810111435195572,0.8176410180416616,0.9489983880795476
165,0.005,256,12,200,0.2,0.766975770266228,0.841747064542667,0.8407033398764959,0.924103640806686
166,0.005,256,12,200,0.4,0.7690696978761591,0.8741305811083688,0.8401678600421798,0.947650843970548
167,0.005,256,12,200,0.6,0.7660783727191146,0.8924538179642509,0.8397465634078282,0.9585242258134856
168,0.005,256,12,200,0.8,0.7642835776248879,0.9038964924089448,0.837380036051824,0.9637192606707116
169,0.005,256,12,200,1.0,0.7505234819024827,0.9032981826340588,0.8230591719534561,0.9613866453623314
170,0.005,256,12,300,0.2,0.7663775052348191,0.8481041059008302,0.8414020408367802,0.9313338577977676
171,0.005,256,12,300,0.4,0.7708644929703858,0.8833295938972403,0.8401220435857677,0.955415552448226
172,0.005,256,12,300,0.6,0.7675740352976369,0.9042704360182484,0.8390764977328012,0.9660372325299624
173,0.005,256,12,300,0.8,0.7666766377505235,0.9157131104629422,0.8372787387302255,0.9708779048676526
174,0.005,256,12,300,1.0,0.752617409512414,0.9135442375289806,0.8252451180418047,0.9685872622262957
175,0.005,256,12,500,0.2,0.7627879150463656,0.8593224141799417,0.840403385263423,0.9451222592642692
176,0.005,256,12,500,0.4,0.7654801076877057,0.9048687457931344,0.8392994950167444,0.9686302528871088
177,0.005,256,12,500,0.6,0.7621896500149566,0.9296238127290404,0.8378895651588757,0.9793218277512444
